yyyy,index,d12,e12,b_m,tbl,aaa,baa,lty,cay,ntis,rfree,infl,eqis,ltr,corpr,svar,csp,ik,crsp_s_pvw,crsp_s_pvwx
1906,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046852116614227945,NaN,NaN,NaN,NaN,0.017091923893580004,NaN,NaN,NaN,NaN
1907,6.57,0.44,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05296767697172178,NaN,NaN,NaN,NaN,0.04797905727384997,NaN,NaN,NaN,NaN
1908,9.03,0.4,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034885596077736114,NaN,NaN,NaN,NaN,0.020052109374040013,NaN,NaN,NaN,NaN
1909,10.3,0.44,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03129357759999096,NaN,NaN,NaN,NaN,0.01003485566272001,NaN,NaN,NaN,NaN
1910,9.05,0.47,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04075000902088011,NaN,NaN,NaN,NaN,0.01890777505037001,NaN,NaN,NaN,NaN
1911,9.11,0.47,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03174271178793986,NaN,NaN,NaN,NaN,0.00778357376721,NaN,NaN,NaN,NaN
1912,9.38,0.48,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03825450898289762,NaN,NaN,NaN,NaN,0.006454295495919996,NaN,NaN,NaN,NaN
1913,8.04,0.48,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04595637922748064,NaN,NaN,NaN,NaN,0.010675343406089994,NaN,NaN,NaN,NaN
1914,7.35,0.42,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038685054348286174,0.010000000000000009,NaN,NaN,NaN,0.011600558552790003,NaN,NaN,NaN,NaN
1915,9.48,0.43,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026490186618868483,0.01980198019801982,NaN,NaN,NaN,0.019104943106800002,NaN,NaN,NaN,NaN
1916,9.8,0.56,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02626381424604296,0.12621359223300965,NaN,NaN,NaN,0.017832474294260003,NaN,NaN,NaN,NaN
1917,6.8,0.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03821093001520981,0.18103448275862077,NaN,NaN,NaN,0.035561567592030004,NaN,NaN,NaN,NaN
1918,7.9,0.57,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04857995829592654,0.2043795620437956,NaN,NaN,NaN,0.015361257963460002,NaN,NaN,NaN,NaN
1919,8.92,0.53,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,NaN,0.0444794846746881,0.14545454545454528,NaN,NaN,NaN,0.024540792301519995,NaN,NaN,NaN,NaN
1920,6.81,0.51,0.8,NaN,0.0588,0.0626,0.0856,0.054000000000000006,NaN,NaN,0.0588,0.02645502645502651,NaN,NaN,NaN,0.03340779962037997,NaN,NaN,NaN,NaN
1921,7.31,0.46,0.29,0.5965346534653466,0.039,0.055,0.0761,0.0447,NaN,NaN,0.039,-0.10824742268041232,NaN,NaN,NaN,0.019019120355379983,NaN,NaN,NaN,NaN
1922,8.78,0.51,0.69,0.47264948558622794,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.0365,-0.023121387283237094,NaN,NaN,NaN,0.01471310118995,NaN,NaN,NaN,NaN
1923,8.55,0.53,0.98,0.5402010050251257,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.0388,0.02366863905325456,NaN,NaN,NaN,0.015696906512700004,NaN,NaN,NaN,NaN
1924,10.16,0.55,0.93,0.4588830802423035,0.025699999999999997,0.0495,0.0646,0.039599999999999996,NaN,NaN,0.025699999999999997,0,NaN,NaN,NaN,0.010721561651260002,NaN,NaN,NaN,NaN
1925,12.46,0.6,1.25,0.38937827141580494,0.0351,0.0485,0.0615,0.038,NaN,NaN,0.0351,0.03468208092485536,NaN,NaN,NaN,0.013528505553159995,NaN,NaN,NaN,NaN
1926,13.49,0.69,1.24,0.44147582697201027,0.030699999999999998,0.0468,0.0568,0.0354,NaN,0.05088521036212598,0.030699999999999998,-0.011173184357541888,NaN,0.0776952394616015,0.07374440514907787,0.016486225174000012,NaN,NaN,0.12200460227674248,0.06603102317639009
1927,17.66,0.77,1.11,0.37468858993522675,0.0317,0.0446,0.0532,0.0316,NaN,0.0764747519579697,0.0317,-0.022598870056497078,0.2655123544272598,0.08944862762249683,0.07443636939339981,0.009419064816999993,NaN,NaN,0.35879164514245154,0.294560247113848
1928,24.35,0.85,1.38,0.2596666666666667,0.0426,0.0461,0.056,0.034,NaN,0.06306873832688235,0.0426,-0.011560693641618491,0.49742928708491413,8.272461424365662e-4,0.028411562078681785,0.019799325348999985,NaN,NaN,0.388440408386437,0.3331306786138566
1929,21.45,0.97,1.61,0.3384578235672891,0.030299999999999997,0.0467,0.0595,0.034,NaN,0.16352217212029735,0.030299999999999997,0.005847953216374213,0.7205929401727631,0.03409946738984693,0.03273004065310148,0.12461401163800001,NaN,NaN,-0.08834697756889098,-0.12134541451807734
1930,15.34,0.98,0.97,0.5547454125653177,0.0148,0.0452,0.0671,0.033,NaN,0.113885891124179,0.0148,-0.06395348837209291,0.30784748840024206,0.04642919510699706,0.07975052458599596,0.06664891933499996,NaN,NaN,-0.263028518025741,-0.29586055497472363
1931,8.12,0.82,0.61,1.170731707317073,0.0241,0.0532,0.1042,0.0407,NaN,-0.012944195492010141,0.0241,-0.0931677018633541,0.14466469843947702,-0.05315734925677629,-0.018509819851525666,0.159402740034,NaN,NaN,-0.45525321343883807,-0.4892035335852537
1932,6.89,0.5,0.41,1.44208430136077,4e-4,0.0459,0.0842,0.0315,NaN,-0.005031571043537501,4e-4,-0.10273972602739723,0.037267080745341616,0.16845211306616048,0.10820224078889851,0.3074516564939999,NaN,NaN,-0.08890737901354384,-0.14836939497669843
1933,10.1,0.44,0.44,0.8290260464173507,0.0029,0.045,0.0775,0.0336,NaN,0.0061958281068512245,0.0029,0.007633587786259444,0.40105540897097625,-6.930264603636216e-4,0.10376056266745182,0.22181695582500008,NaN,NaN,0.5325117224684852,0.47227311379174464
1934,9.5,0.45,0.49,0.7737408688965782,0.0023,0.0381,0.0623,0.0293,NaN,0.02081471928983578,0.0023,0.015151515151515138,0.07128309572301425,0.10014997865529929,0.13843446067757115,0.06659176043100001,NaN,NaN,-0.024841879084927743,-0.06188621964550334
1935,13.43,0.47,0.76,0.5599111912856449,0.0015,0.0344,0.053,0.0276,NaN,0.0086888345696463,0.0015,0.029850746268656803,0.06619593998234775,0.04996087564472318,0.09614856066036981,0.03550683560200002,NaN,NaN,0.4563306798115814,0.39969068983095757
1936,17.18,0.72,1.02,0.45858810450250137,0.0012,0.031,0.0453,0.0255,NaN,0.025224721571867965,0.0012,0.014492753623188248,0.12057667103538663,0.07495806251817161,0.06744283683190888,0.03125643673099999,NaN,NaN,0.3341783543903789,0.2794533119948561
1937,10.55,0.8,1.13,0.7074886222589988,0.0011,0.0321,0.0573,0.0273,NaN,0.0317777281906668,0.0011,0.028571428571428692,0.31237155774763664,0.00232647386797713,0.027467314775122986,0.099632592612,0.0028331217,NaN,-0.3599352846339422,-0.39422500875445154
1938,13.21,0.51,0.64,0.5720393884426016,3e-4,0.0308,0.0527,0.0252,NaN,0.005721712650159599,3e-4,-0.02777777777777779,0.044922788956481045,0.055118172878977356,0.06132655356556582,0.11214282958099993,0.0041669638,NaN,0.29308402960229163,0.24253727325552266
1939,12.49,0.62,0.9,0.5807053803586905,4e-4,0.0294,0.0492,0.0226,NaN,0.0025507840509365943,4e-4,0,0.0854898336414048,0.059497143408056674,0.03966276007313296,0.066420313713,0.0060740339,NaN,-0.011042431919995654,-0.05669514333350201
1940,10.58,0.67,1.05,0.7290475101044764,2e-4,0.0271,0.0445,0.0194,NaN,0.0125891885219032,2e-4,0.0071428571428571175,0.11871154542164314,0.06092243108499096,0.0339408515603159,0.04804999475100001,0.0042619728,NaN,-0.09779180537297438,-0.1516996576896802
1941,8.69,0.71,1.16,0.8895097332372027,0.0033,0.028,0.0438,0.0204,NaN,0.010342826313128743,0.0033,0.09929078014184389,0.11420932009167303,0.009318208048833432,0.027314183733037067,0.022472427684000013,0.0034469828,NaN,-0.11397216585242709,-0.1767679216465856
1942,9.77,0.59,1.03,0.862646566164154,0.0038,0.0281,0.0428,0.0246,NaN,0.0018120042882714858,0.0038,0.0903225806451613,0.1238003838771593,0.032178428966698425,0.02598113789055123,0.018050978642999996,0.0051009425,NaN,0.2096087743748647,0.12999087738821635
1943,11.67,0.61,0.94,0.7874015748031497,0.0038,0.0274,0.0382,0.0248,NaN,0.014422539244569406,0.0038,0.029585798816567976,0.1643059490084986,0.020878899899651193,0.028325934531739705,0.01608653035700001,0.0019623979,NaN,0.26665880690465893,0.20331270141219182
1944,13.28,0.64,0.93,0.7437635753307444,0.0038,0.027,0.0349,0.0246,NaN,0.019062446533258545,0.0038,0.02298850574712663,0.16452442159383032,0.02815089165818785,0.0473218912541693,0.008399502658999995,0.0035223172,NaN,0.211633507252053,0.15135313808082107
1945,17.36,0.66,0.96,0.6132393344046446,0.0038,0.0261,0.031,0.0199,-0.048879211,0.025525278289567403,0.0038,0.022471910112359383,0.21174004192872117,0.10730903891586752,0.040756742844816785,0.015969244407,0.0043280057,NaN,0.36664523423720574,0.3097471748293381
1946,15.3,0.71,1.06,0.6924379232505644,0.0038,0.0261,0.0317,0.0212,0.0547741796,0.03607606045087872,0.0038,0.18131868131868134,0.3184821017053311,-8.419237497646614e-4,0.01722955640900059,0.046371091954,0.0017810408,NaN,-0.09279652998562216,-0.1284281767105847
1947,15.3,0.84,1.61,0.7253256789578274,0.0095,0.0286,0.0352,0.0243,0.0718548801,0.025921595269506336,0.0095,0.08837209302325566,0.23962986598596042,-0.02627466147588864,-0.02336383471423409,0.019338520080999993,0.0047609245,0.0347173151,0.049090888769833585,-0.0064997859419617665
1948,15.2,0.93,2.29,0.8409475465313028,0.0116,0.0279,0.0353,0.0237,0.0514088322,0.015014554123042907,0.0116,0.02991452991453003,0.1571404484909796,0.03385014785511786,0.04135878707728469,0.02209981011099999,0.0016330103,0.0351438201,0.05258172181903209,-0.008405078737512284
1949,16.76,1.14,2.32,0.7964292838619588,0.011000000000000001,0.0258,0.0331,0.0209,0.0466505179,0.027175584701247667,0.011000000000000001,-0.020746887966805017,0.19186911254338126,0.06439052969819747,0.03308762431464207,0.012305915453000006,0.004252018,0.0291639031,0.18057448906670182,0.09770531336633281
1950,20.41,1.47,2.84,0.7225384419335655,0.0134,0.0267,0.032,0.0224,0.0015709786,0.031358255908732945,0.0134,0.05932203389830493,0.2270227808326787,5.048300127130645e-4,0.02115181205562311,0.021461308570000004,0.0056625153,0.0346300315,0.32945820887233634,0.23029882876135033
1951,23.77,1.41,2.44,0.7213163466181332,0.0173,0.0301,0.0361,0.0269,0.0027386438,0.03615078779985318,0.0173,0.06000000000000005,0.2648236661929983,-0.039421605282187966,-0.026903090444829525,0.012182239626000008,0.0041468933,0.0327005625,0.23425051693482235,0.16019755165275074
1952,26.57,1.41,2.4,0.6940733127783488,0.0209,0.0297,0.0351,0.0279,6.681662e-4,0.026534716358030466,0.0209,0.007547169811320753,0.2024971146784178,0.011693102066427041,0.0352092236086079,0.006590011401000004,0.0034459187,0.0320210117,0.18942247797578315,0.12279705983239442
1953,24.81,1.45,2.51,0.7597009611961553,0.016,0.0313,0.0374,0.0274,-0.0141196879,0.024822272294748638,0.016,0.0074906367041198685,0.20397842211732975,0.03625819357151294,0.034114424685752986,0.008279478656999992,0.0027933096,0.0332499467,-0.01707514182457237,-0.07301700484174423
1954,35.98,1.54,2.77,0.604119785355721,0.0115,0.029,0.0345,0.0272,0.0057428914,0.026992812470241084,0.0115,-0.0074349442379182396,0.2131974361668593,0.07177646776280633,0.05385848529143589,0.008389813583999997,0.0028454745,0.031770164,0.5264830511094096,0.44993678058540687
1955,45.48,1.64,3.62,0.5098280098280098,0.0254,0.0315,0.0362,0.0295,-0.0098704006,0.025244549861861313,0.0254,0.0037453183520599342,0.275390625,-0.01283448886223737,0.004797369766985193,0.021620208756999992,2.4379918e-4,0.0359170376,0.31298248901857595,0.2579078378033406
1956,46.67,1.74,3.41,0.5441768274370833,0.0321,0.0375,0.0437,0.0345,-0.0174840231,0.026149367267363086,0.0321,0.029850746268656803,0.26848889295182377,-0.0559421648828613,-0.06814626776734589,0.013889924297000006,9.6984129e-4,0.0345737022,0.06427433169209995,0.02180891966689691
1957,39.99,1.79,3.37,0.6536757786499575,0.0304,0.0381,0.0503,0.0323,-0.0116165899,0.034873146995566345,0.0304,0.02898550724637672,0.22700100923841315,0.07466466909661773,0.08713545755905261,0.017546851036999996,6.679271e-4,0.0332670082,-0.10814781471770774,-0.1470136995788981
1958,55.21,1.75,2.89,0.511779319797824,0.0277,0.0408,0.0485,0.0382,0.0053203876,0.023686831610820705,0.0277,0.01760563380281699,0.16483516483516483,-0.0610620353910043,-0.022169911615970816,0.008489223968999999,0.0015858124,0.029529653,0.43741685462499924,0.38275252147342753
1959,59.89,1.83,3.39,0.45778379651436646,0.0449,0.0458,0.0528,0.0447,0.0051811499,0.022856304098949398,0.0449,0.01730103806228378,0.26243972504360313,-0.022663557006600943,-0.009667895831327877,0.008449290527999998,9.753718e-4,0.0315256953,0.12400828542067766,0.08805470042133434
1960,58.11,1.95,3.27,0.5504229651398789,0.0225,0.0435,0.051,0.038,0.0104368524,0.02276136078944106,0.0225,0.013605442176870763,0.20415599763639944,0.1379339434304887,0.09066491547074462,0.010160585947999992,-0.0013625136,0.0313395578,0.005900757569046622,-0.02846107604105319
1961,71.55,2.02,3.19,0.5059222583910058,0.026000000000000002,0.0442,0.051,0.0415,0.0090975883,0.022324287879189435,0.026000000000000002,0.006711409395973034,0.284412032816773,0.009678426725107325,0.04818318880106909,0.006487872589000007,-0.0022107435,0.0318593127,0.2710701961360391,0.2335554725569351
1962,63.1,2.13,3.67,0.5916270510657875,0.0287,0.0424,0.0492,0.0395,0.0062993168,0.019968070421955832,0.0287,0.013333333333333197,0.16216721158337224,0.06882948926866561,0.07945036334464883,0.028545104169000014,-0.0027965748,0.0327619125,-0.08748161938715382,-0.1183940659071897
1963,75.02,2.28,4.02,0.5255914542237368,0.0352,0.0435,0.0485,0.0417,0.006443778,0.008954678058576894,0.0352,0.016447368421052655,0.11147433801896045,0.012143644790879149,0.02194874756613885,0.007412608069000001,-0.0014968686,0.0347723756,0.22686325591292844,0.1877667236513869
1964,84.75,2.5,4.55,0.4872273002871426,0.0384,0.0444,0.0481,0.0423,-0.0048079853,0.023094425635208374,0.0384,0.009708737864077666,0.22146593107401305,0.03511702896745028,0.04772313179425969,0.002794609589000001,-0.0023805734,0.0369767305,0.16679276902534834,0.13185166833810502
1965,92.43,2.72,5.19,0.43063780616140146,0.0438,0.0468,0.0502,0.045,-0.0100858334,0.020837182939336563,0.0438,0.019230769230769384,0.14207103551775888,0.00701936978601525,-0.004567938967481311,0.004589190415999999,-8.1288747e-4,0.0418716563,0.12610446663002883,0.09222479148176155
1966,80.33,2.87,5.55,0.5769451055759905,0.0496,0.053900000000000003,0.0618,0.0455,-0.0117357893,0.017207925931503255,0.0496,0.03459119496855334,0.13904719747689925,0.03645008283264395,0.0019529199367378514,0.013935368831999997,-4.9878855e-5,0.0417859999,-0.10195582045707241,-0.1320755528791746
1967,96.47,2.92,5.33,0.525792445117168,0.049699999999999994,0.0619,0.0693,0.0556,-0.0273361931,0.014361072905423647,0.049699999999999994,0.03039513677811545,0.11468666827969998,-0.0917652651649794,-0.049505868178804424,0.006989392458000001,0.0029522247,0.0389809094,0.23961522645527888,0.20104781719945208
1968,103.86,3.07,5.76,0.5049006622516556,0.0596,0.0645,0.0723,0.0598,-0.0323401112,0.031961490748371915,0.0596,0.0471976401179941,0.20864062642265319,-0.002573777475901151,0.025739132146892496,0.007399449305000003,0.0023475611,0.0390082979,0.10826627444468317,0.07433161305081026
1969,92.06,3.16,5.78,0.6510820130941076,0.0782,0.0772,0.0865,0.0687,-0.025452407,0.034273783303565106,0.0782,0.06197183098591563,0.31395131436263696,-0.05073601487537893,-0.08090431389613162,0.010015449010000002,8.2225183e-4,0.0391439805,-0.08318674183191377,-0.11305524368682562
1970,92.15,3.14,5.13,0.6464263576979926,0.0487,0.0764,0.0912,0.0648,-0.0321302225,0.03146170744744369,0.0487,0.055702917771883076,0.22288414133114215,0.12102180697093168,0.18371379022741885,0.023043477428000007,0.0015125012,0.035532137,0.03987072619827159,0.0016368890229787603
1971,102.09,3.07,5.7,0.6439002471354752,0.0401,0.0725,0.0838,0.0597,-0.0468032202,0.034023358653099176,0.0401,0.03266331658291466,0.2874473275670881,0.13236721626818526,0.11012585989684776,0.010461721705000001,0.0022538795,0.035801571,0.14450965598374332,0.10911948102972224
1972,118.05,3.15,6.42,0.5956745946157919,0.0507,0.0708,0.0793,0.0599,-0.0451149169,0.03420348372923823,0.0507,0.03406326034063256,0.31129489715661274,0.05682442119015163,0.07259751748373477,0.006361573394000003,3.1144652e-4,0.0383776151,0.19117099472597543,0.15762857469027347
1973,97.55,3.38,8.16,0.7555884634369932,0.0745,0.0768,0.0848,0.0726,-0.0496036582,0.013007395124224599,0.0745,0.08705882352941186,0.33308376508640053,-0.011103879216425305,0.011394964719774858,0.025068590781999994,-6.401994e-4,0.0404006923,-0.14796598497322866,-0.17487895603282955
1974,68.56,3.6,8.89,1.1200181747371154,0.07150000000000001,0.0889,0.1063,0.076,-0.0326735929,0.0087733076352325,0.07150000000000001,0.12337662337662336,0.16306447402766902,0.04342649301909307,-0.030617512511581957,0.04804291274100002,-8.3048791e-4,0.0365567257,-0.26426167718519744,-0.2966192275645202
1975,90.19,3.68,7.96,0.8763388510223954,0.054400000000000004,0.0879,0.1056,0.0805,-0.0326326746,0.023709428509700505,0.054400000000000004,0.06936416184971095,0.2025998731769182,0.09186887717259862,0.14644256327733984,0.024263498756999975,-4.6511563e-4,0.0328386694,0.36962480573845813,0.3136593997370849
1976,107.46,4.05,9.91,0.7799731249688947,0.0435,0.0798,0.0912,0.0721,-0.0237026246,0.028565706005229948,0.0435,0.048648648648648596,0.207928029238122,0.1676451102143508,0.18646869379351605,0.012467234139000008,-0.0011227041,0.0341202165,0.23915983668008578,0.1911752505283737
1977,95.1,4.67,10.89,0.9603330245316843,0.060700000000000004,0.0819,0.0899,0.0803,-0.0175495462,0.0304755411228974,0.060700000000000004,0.0670103092783505,0.21893590124925638,-0.006988547503462672,0.017097783189292892,0.008259721245000008,-0.0018338899,0.0369622,-0.07426605510709283,-0.1169251284074615
1978,96.11,5.07,12.33,1.045701295636079,0.0908,0.0916,0.0994,0.0898,-0.0160043449,0.014850552202063072,0.0908,0.09017713365539448,0.21944915254237288,-0.011658690259455429,-7.035631045243518e-4,0.015801216737,-0.0015481539,0.0410198406,0.06411488192528014,0.009448028984681223
1979,107.94,5.65,14.86,1.0619500679590814,0.1204,0.1074,0.1206,0.1012,-0.0097070532,0.010514464695928087,0.1204,0.13293943870014768,0.22005673869112388,-0.012503115943428234,-0.04200410548470224,0.011823069950999987,-3.7113093e-4,0.0405585052,0.18587755027572705,0.12283499414815746
1980,135.76,6.16,14.82,0.8915030238902892,0.1549,0.1321,0.1514,0.1199,-0.0066663843,0.026816359014022708,0.1549,0.1251629726205996,0.2780242893004953,-0.03952986396365832,-0.02756526005516824,0.02734185613800002,0.0010201575,0.0378558867,0.32590183907853754,0.25984059635885925
1981,122.55,6.63,15.36,1.0611428571428572,0.1085,0.1423,0.1655,0.1334,3.141185e-4,0.01190967311209669,0.1085,0.0892236384704519,0.36217513680330327,0.018569705569506212,-0.01236193236318961,0.018130823458000007,-0.0012794664,0.0390605362,-0.04863894367681387,-0.09653279260073244
1982,140.64,6.87,12.64,0.9322147266229671,0.0794,0.1183,0.1414,0.1095,0.003597649,0.0029900534928850647,0.0794,0.038297872340425476,0.3647539027068315,0.4035036914126131,0.4256189929775782,0.03344092314100001,-0.0013463488,0.0332301614,0.22140584932373497,0.15391859637763416
1983,164.93,7.09,14.03,0.7003591177779189,0.09,0.1257,0.1375,0.1197,0.0191666846,0.027056896971736046,0.09,0.037909836065573854,0.43000775329515045,0.006519063129268199,0.06258576382044256,0.017870772617999995,-0.0016937271,0.0355809401,0.2228105240232625,0.17012722870466934
1984,167.24,7.53,16.64,0.7330983764867074,0.0806,0.1213,0.134,0.117,0.0100524503,-0.02719678659419894,0.0806,0.03948667324777877,0.17073741237899057,0.15492497979200315,0.16860157699145528,0.016250910215,-0.0011276635,0.038912122,0.06689907814612694,0.01839495946107661
1985,211.28,7.9,14.61,0.59269268816231,0.071,0.1016,0.1158,0.0956,0.0215549723,-0.019465081542443776,0.071,0.037986704653371284,0.17645539054697942,0.3097114500525422,0.30090889786974073,0.010517815770000003,-0.001721356,0.0378838546,0.31979425992792354,0.26619813062386455
1986,242.17,8.28,14.48,0.49843086579287427,0.0553,0.0849,0.0997,0.0789,0.0110990467,-0.011375999294814478,0.0553,0.010978956999085021,0.1647341553611203,0.2452123788005558,0.1984747724570044,0.021676363818000005,-0.0022403247,0.0346730594,0.18065405154963843,0.13869852494770907
